CODIGO DE FABRICA;COD GECOM;DESCRIPCION OPTIMA;RUBRO ;SUBRRUBRO ;MARCA;STOCK ;LISTA 1 ;LISTA 2;LISTA 3;COND DE IVA ;MONEDA;VISIBLE EN INTERNET ;MERCADO LIBRE;AMAZON ;OLX
BA2CSF202005R0160;F202 AC-16/0.01;DIYUNTOR 2 X 16A 10MA;DIFERENCIALES;BIPOLAR;ABB;0;48318,39;46707,78;35939,3;21;$;S;S;S;S
1TMF202006R3250;FH202 AC-25/0.3;DIYUNTOR 2 X 25A 300MA;DIFERENCIALES;BIPOLAR;ABB;0;28759,36;27800,72;21391,26;21;$;S;S;S;S
1TMF202006R1250;FH202 AC-25/0.0;DIYUNTOR 2 X 25A 30MA;DIFERENCIALES;BIPOLAR;ABB;0;21810,79;21083,77;16222,9;21;$;S;S;S;S
1TMF202006R1400;FH202 AC-40/0.0;DIYUNTOR 2 X 40A 30MA;DIFERENCIALES;BIPOLAR;ABB;0;23547,93;22763;17514,99;21;$;S;S;S;S
1TMF202006R3630;FH202 AC-63/0.3;DIYUNTOR 2 X 63A 300MA;DIFERENCIALES;BIPOLAR;ABB;0;43042,54;41607,78;32015,11;21;$;S;S;S;S
1TMF202006R1630;FH202 AC-63/0.0;DIYUNTOR 2 X 63A 30MA;DIFERENCIALES;BIPOLAR;ABB;0;43621,58;42167,53;32445,81;21;$;S;S;S;S
BA2CSF204005R1900;F204 AC-100/0.0;DIYUNTOR 4 X 100A 30MA;DIFERENCIALES;TETRAPOLAR;ABB;0;158050,8;152782,44;117558,45;21;$;S;S;S;S
1TMF204006R1250;FH204 AC-25/0.0;DIYUNTOR 4 X 25A 30MA;DIFERENCIALES;TETRAPOLAR;ABB;0;32040,63;30972,61;23831,88;21;$;S;S;S;S
1TMF204006R1400;FH204 AC-40/0.0;DIYUNTOR 4 X 40A 30MA;DIFERENCIALES;TETRAPOLAR;ABB;0;33584,76;32465,27;24980,4;21;$;S;S;S;S
1TMF204006R3630;FH204 AC-63/0.3;DIYUNTOR 4 X 63A 300MA;DIFERENCIALES;TETRAPOLAR;ABB;0;65432,38;63251,3;48668,71;21;$;S;S;S;S
1TMF204006R1630;FH204 AC-63/0.0;DIYUNTOR 4 X 63A 30MA;DIFERENCIALES;TETRAPOLAR;ABB;0;66976,5;64743,95;49817,23;21;$;S;S;S;S
BA1SBN010010R1010;CA5-10;AUXILIAR FRONTAL P/CONTACTOR 1NA;INDUSTRIAL;AUX CONTACTOR;ABB;0;2796,41;2703,2;2079,98;21;$;S;S;S;S
BA1SBN010010R1001;CA5-01;AUXILIAR FRONTAL P/CONTACTOR 1NC;INDUSTRIAL;AUX CONTACTOR;ABB;0;2796,41;2703,2;2079,98;21;$;S;S;S;S
BA1SDA054478R1;BA1SDA054478R1;TMA COMPACT REG 4P 280/400A;INDUSTRIAL;COMPACTOS;ABB;0;698277,97;675002,03;519380,31;21;$;S;S;S;S
BA1SDA068058R1;BA1SDA068058R1;TMD COMPACT REG 3P 140/200A;INDUSTRIAL;COMPACTOS;ABB;0;268473,96;259524,83;199691,37;21;$;S;S;S;S
BA1SDA068059R1;BA1SDA068059R1;TMD COMPACT REG 3P 175/250A;INDUSTRIAL;COMPACTOS;ABB;0;281444,16;272062,69;209338,63;21;$;S;S;S;S
BA1SDA066807R1;BA1SDA066807R1;TMD COMPACT REG 3P 70/100A;INDUSTRIAL;COMPACTOS;ABB;0;69579,15;67259,84;51753,09;21;$;S;S;S;S
BA1SDA066821R1;BA1SDA066821R1;TMD COMPACT REG 4P 112/160A;INDUSTRIAL;COMPACTOS;ABB;0;135644,38;131122,9;100892,52;21;$;S;S;S;S
BA1SDA066816R1;BA1SDA066816R1;TMD COMPACT REG 4P 44/63A;INDUSTRIAL;COMPACTOS;ABB;0;79495,37;76845,53;59128,79;21;$;S;S;S;S
BA1SDA066817R1;BA1SDA066817R1;TMD COMPACT REG 4P 56/80A;INDUSTRIAL;COMPACTOS;ABB;0;80672,81;77983,72;60004,57;21;$;S;S;S;S
1SBL911074R8010;AX12-30-10-220;CONTACTOR 3P 12A 220V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;11237,82;10863,23;8358,71;21;$;S;S;S;S
1SBL911074R8001;AX12-30-01-220;CONTACTOR 3P 12A 220V 1NC;INDUSTRIAL;CONTACTOR;ABB;0;11237,82;10863,23;8358,71;21;$;S;S;S;S
BA1SBL157001R1310;AF12-30-10-13;CONTACTOR 3P 12A 220V 5.5kW 1NA;INDUSTRIAL;CONTACTOR;ABB;0;19243,73;18602,27;14313,52;21;$;S;S;S;S
1SBL911074R8110;AX12-30-10-24;CONTACTOR 3P 12A 24V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;11237,82;10863,23;8358,71;21;$;S;S;S;S
BA1SBL157001R1110;AF12-30-10-11;CONTACTOR 3P 12A 24V 5.5kW 1NA;INDUSTRIAL;CONTACTOR;ABB;0;19243,73;18602,27;14313,52;21;$;S;S;S;S
1SBL911074R8510;AX12-30-10-380;CONTACTOR 3P 12A 380V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;11237,82;10863,23;8358,71;21;$;S;S;S;S
1SBL921074R8410;AX18-30-10-110;CONTACTOR 3P 18A 110V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;14714,76;14224,27;10944,86;21;$;S;S;S;S
1SBL921074R8401;AX18-30-01-110;CONTACTOR 3P 18A 110V 1NC;INDUSTRIAL;CONTACTOR;ABB;0;14714,76;14224,27;10944,86;21;$;S;S;S;S
1SBL921074R8010;AX18-30-10-220;CONTACTOR 3P 18A 220/230V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;14716,19;14225,65;10945,93;21;$;S;S;S;S
1SBL921074R8001;AX18-30-01-220;CONTACTOR 3P 18A 220/230V 1NC;INDUSTRIAL;CONTACTOR;ABB;0;14714,76;14224,27;10944,86;21;$;S;S;S;S
BA1SBL177001R1310;AF16-30-10-13;CONTACTOR 3P 18A 220V 7.5kW 1NA;INDUSTRIAL;CONTACTOR;ABB;0;25002,13;24168,73;18596,63;21;$;S;S;S;S
1SBL921074R8110;AX18-30-10-24;CONTACTOR 3P 18A 24V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;14714,76;14224,27;10944,86;21;$;S;S;S;S
1SBL921074R8510;AX18-30-10-380;CONTACTOR 3P 18A 380/400V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;14714,76;14224,27;10944,86;21;$;S;S;S;S
BA1SBL237001R1300;AF26-30-00-13;CONTACTOR 3P 26A 100/250V;INDUSTRIAL;CONTACTOR;ABB;0;35838,23;34643,62;26656,53;21;$;S;S;S;S
BA1SBL237001R1100;AF26-30-00-11;CONTACTOR 3P 26A 24/60V;INDUSTRIAL;CONTACTOR;ABB;0;35838,23;34643,62;26656,53;21;$;S;S;S;S
BA1SBL237001R1400;AF26-30-00-14;CONTACTOR 3P 26A 250/500V;INDUSTRIAL;CONTACTOR;ABB;0;35838,23;34643,62;26656,53;21;$;S;S;S;S
BA1SBL277001R1300;AF30-30-00-13;CONTACTOR 3P 30A 100/250V;INDUSTRIAL;CONTACTOR;ABB;0;63912,73;61782,31;47538,4;21;$;S;S;S;S
BA1SBL277001R1400;AF30-30-00-14;CONTACTOR 3P 30A 250/500V;INDUSTRIAL;CONTACTOR;ABB;0;63912,73;61782,31;47538,4;21;$;S;S;S;S
BA1SBL297001R1300;AF38-30-00-13;CONTACTOR 3P 38A 100/250V;INDUSTRIAL;CONTACTOR;ABB;0;81850,25;79121,9;60880,35;21;$;S;S;S;S
BA1SBL297001R1400;AF38-30-00-14;CONTACTOR 3P 38A 250/500V;INDUSTRIAL;CONTACTOR;ABB;0;81850,25;79121,9;60880,35;21;$;S;S;S;S
BA1SBL367001R1300;AF52-30-00-13;CONTACTOR 3P 53A 100/250V;INDUSTRIAL;CONTACTOR;ABB;0;126206,49;121999,61;93872,6;21;$;S;S;S;S
BA1SBL397001R1300;AF80-30-00-13;CONTACTOR 3P 80A 100/250V;INDUSTRIAL;CONTACTOR;ABB;0;215397,32;208217,41;160212,88;21;$;S;S;S;S
1SBL901074R8010;AX09-30-10-220;CONTACTOR 3P 9A 220/230V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;7958,91;7693,61;5919,85;21;$;S;S;S;S
1SBL901074R8001;AX09-30-01-220;CONTACTOR 3P 9A 220/230V 1NC;INDUSTRIAL;CONTACTOR;ABB;0;7958,91;7693,61;5919,85;21;$;S;S;S;S
BA1SBL137001R1310;AF09-30-10-13;CONTACTOR 3P 9A 220V 4kW 1NA;INDUSTRIAL;CONTACTOR;ABB;0;17937,51;17339,59;13341,95;21;$;S;S;S;S
1SBL901074R8110;AX09-30-10-24;CONTACTOR 3P 9A 24V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;7958,91;7693,61;5919,85;21;$;S;S;S;S
1SBL901074R8510;AX09-30-10-380;CONTACTOR 3P 9A 380/400V 1NA;INDUSTRIAL;CONTACTOR;ABB;0;7958,91;7693,61;5919,85;21;$;S;S;S;S
BA1SBL137001R1301;AF09-30-01-13;CONTACTOR 3P 9A 4KW 100-250V 1NC;INDUSTRIAL;CONTACTOR;ABB;0;18195,08;17588,57;13533,53;21;$;S;S;S;S
BAGHE3211102R0006;ESB20-20/230;CONTACTOR ESB 20A 220V 2NA;INDUSTRIAL;CONTACTOR;ABB;0;32617,98;31530,71;24261,31;21;$;S;S;S;S
BA1SAM250000R1007;MS116 / 2.5;GUARDAMOTOR 1.6-2.5A 50 kA;INDUSTRIAL;GUARDAMOTOR;ABB;0;38910,6;37613,58;28941,77;21;$;S;S;S;S
BA1SAM250000R1011;MS116 / 16.0;GUARDAMOTOR 10-16A 16 KA;INDUSTRIAL;GUARDAMOTOR;ABB;0;43399,58;41952,93;32280,68;21;$;S;S;S;S
BA1SAM250000R1008;MS116 / 4;GUARDAMOTOR 2.5-4A 50 kA;INDUSTRIAL;GUARDAMOTOR;ABB;0;44694,61;43204,79;33243,93;21;$;S;S;S;S
BA1SAM250000R1014;MS116 / 25.0;GUARDAMOTOR 20-25A 10 KA;INDUSTRIAL;GUARDAMOTOR;ABB;0;57804,78;55877,96;42995,29;21;$;S;S;S;S
BA1SAM250000R1015;MS116 / 32.0;GUARDAMOTOR 25-32A 10 KA;INDUSTRIAL;GUARDAMOTOR;ABB;0;78557,1;75938,53;58430,9;21;$;S;S;S;S
BA1SAM250000R1010;MS116 / 10.0;GUARDAMOTOR 6.3-10A 50 KA;INDUSTRIAL;GUARDAMOTOR;ABB;0;42222,14;40814,74;31404,9;21;$;S;S;S;S
BA1SAM250000R1012;MS116 / 12.0;GUARDAMOTOR 8-12A 25 KA;INDUSTRIAL;GUARDAMOTOR;ABB;0;42222,14;40814,74;31404,9;21;$;S;S;S;S
BA1SAZ211201R1023;TA25DU 1.4;RELE TERMICO 1 - 1.4A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1025;TA25DU 1.8;RELE TERMICO 1.4 - 1.8A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1028;TA25DU 2.4;RELE TERMICO 1.7 - 2.4A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1045;TA25DU 14;RELE TERMICO 10-14A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1047;TA25DU 19;RELE TERMICO 13-19A;INDUSTRIAL;RELEVOS;ABB;0;21249,05;20540,75;15805,08;21;$;S;S;S;S
BA1SAZ211201R1031;TA25DU 3.1;RELE TERMICO 2.2 - 3.1A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1033;TA25DU 4.0;RELE TERMICO 2.8 - 4A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1035;TA25DU 5.0;RELE TERMICO 3.5 - 5A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1038;TA25DU 6.5;RELE TERMICO 4.5 - 6.5A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1040;TA25DU 8.5;RELE TERMICO 6 - 8.5A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SAZ211201R1043;TA25DU 11;RELE TERMICO 7.5 - 11A;INDUSTRIAL;RELEVOS;ABB;0;20273,99;19598,19;15079,83;21;$;S;S;S;S
BA1SCA105018R1001;OT100F4N2;SECCIONADOR 4 POLOS X 100A;INDUSTRIAL;SECCIONADORES;ABB;0;87056,72;84154,83;64752,94;21;$;S;S;S;S
BA1SCA022719R1810;OT400E04P;SECCIONADOR 4 POLOS X 400A;INDUSTRIAL;SECCIONADORES;ABB;0;289207,88;279567,62;215113,3;21;$;S;S;S;S
BA1SEP101891R0002;XLP01-3P;SECCIONADOR BAJO CARGA 3X250A NH 1;INDUSTRIAL;SECCIONADORES;ABB;0;138955,92;134324,06;103355,65;21;$;S;S;S;S
BA2CSM258763R0621;D1;INTERR HORARIO 64 PROG. C/ RES 1 INV;TEMPORIZADORES;INTERUPTOR HORARIO;ABB;0;73023,87;70589,74;54315,28;21;$;S;S;S;S
BA2CSM204115R0601;AT2-R;INTERR HORARIO DIARIO 1INV 150HS;TEMPORIZADORES;INTERUPTOR HORARIO;ABB;0;46336,43;44791,88;34465,11;21;$;S;S;S;S
BA2CSM204125R0601;AT2-7R;INTERR HORARIO SEMANAL 1NV 150HS;TEMPORIZADORES;INTERUPTOR HORARIO;ABB;0;73023,87;70589,74;54315,28;21;$;S;S;S;S
BE2CDS242001R0104;SH202 L-C10;TERMICA 2 X 10A 4.5 KA;TERMICAS;BIPOLAR;ABB;0;5253,31;5078,2;3907,42;21;$;S;S;S;S
